RXNORM_id	name	moa	parents	pe
51428	insulin aspart, human	Insulin Receptor Agonists	Insulin Analog|I [Preparations]	Decreased Glycogenolysis|Decreased Lipolysis|Increased Glucose Transport into Cells|Increased Glycogenesis|Increased Lipogenesis|Increased Protein Synthesis
10633	tolazamide	Insulin Receptor Agonists	Sulfonylurea|T [Preparations]	Increased Diuresis|Decreased Glycolysis|Increased Insulin Secretion|Increased Glucose Transport into Cells
10635	tolbutamide	Insulin Receptor Agonists	T [Preparations]	Decreased Glycolysis|Increased Glucose Transport into Cells|Increased Insulin Secretion
25789	glimepiride	Insulin Receptor Agonists	Sulfonylurea|G [Preparations]	Decreased Glycolysis|Increased Insulin Secretion|Increased Glucose Transport into Cells
30009	miglitol	alpha Glucosidase Inhibitors	alpha-Glucosidase Inhibitor|M [Preparations]	Inhibition Carbohydrate Digestion
33738	pioglitazone	Peroxisome Proliferator-activated Receptor alpha Agonists|Peroxisome Proliferator-activated Receptor gamma Agonists|Insulin Receptor Agonists	Thiazolidinedione|Peroxisome Proliferator Receptor alpha Agonist|Peroxisome Proliferator Receptor gamma Agonist|P [Preparations]	Increased Glucose Transport into Cells|Increased Glycolysis
16681	acarbose	alpha Glucosidase Inhibitors|Amylase Inhibitors	alpha-Glucosidase Inhibitor|A [Preparations]	Inhibition Carbohydrate Digestion
2376838	insulin lispro-aabc	Insulin Receptor Agonists	I [Preparations]	Decreased Glycogenolysis|Decreased Lipolysis|Increased Glycogenesis|Increased Glucose Transport into Cells|Increased Lipogenesis|Increased Protein Synthesis
2601723	tirzepatide	Glucagon-like Peptide-1 (GLP-1) Agonists|G-Protein-linked Receptor Interactions|Glucagon-like Peptide-1 (GLP-1) Receptor Interactions	GLP-1 Receptor Agonist|T [Preparations]|Glucose-dependent Insulinotropic Polypeptide Receptor Agonist	
2589006	insulin glargine-aglr	Insulin Receptor Agonists	I [Preparations]	Decreased Glycogenolysis|Decreased Lipolysis|Increased Glycogenesis|Increased Glucose Transport into Cells|Increased Lipogenesis|Increased Protein Synthesis
6809	metformin	Insulin Receptor Agonists	Biguanide|M [Preparations]	Decreased Glycogenesis|Decreased Gluconeogenesis|Increased Glucose Transport into Cells
173	acetohexamide	Potassium Channel Interactions|Insulin Receptor Agonists	A [Preparations]	Decreased Glycolysis|Increased Glucose Transport into Cells|Increased Insulin Secretion
1599564	edoxaban tosylate		E [Preparations]	Decreased Coagulation Factor Activity
1599538	edoxaban	Factor Xa Inhibitors	Factor Xa Inhibitor|E [Preparations]	Decreased Coagulation Factor Activity
1364430	apixaban	Antithrombins|Factor Xa Inhibitors	Factor Xa Inhibitor|A [Preparations]	Decreased Coagulation Factor Activity
1037041	dabigatran etexilate mesylate	Thrombin Inhibitors	D [Preparations]	Decreased Coagulation Activity
1037042	dabigatran etexilate	Thrombin Inhibitors	D [Preparations]	Decreased Coagulation Activity
1114195	rivaroxaban	Factor Xa Inhibitors	Factor Xa Inhibitor|R [Preparations]	Decreased Coagulation Factor Activity
5224	heparin	Thrombin Inhibitors|Antithrombin Activators	H [Preparations]	Decreased Coagulation Factor Activity
236025	heparin sodium, bovine	Thrombin Inhibitors|Antithrombin Activators	H [Preparations]	Decreased Coagulation Factor Activity
436195	bemiparin sodium	Antithrombins|Serine Proteinase Inhibitors|Factor Xa Inhibitors	B [Preparations]	Decreased Coagulation Factor Activity
321208	fondaparinux	Antithrombins|Factor Xa Inhibitors	Factor Xa Inhibitor|F [Preparations]	Decreased Coagulation Factor Activity
322154	fondaparinux sodium	Antithrombins	F [Preparations]	Decreased Coagulation Factor Activity
314659	heparin sodium, porcine	Thrombin Inhibitors|Antithrombin Activators	H [Preparations]	Decreased Coagulation Factor Activity
280611	bemiparin	Antithrombins|Serine Proteinase Inhibitors|Factor Xa Inhibitors	B [Preparations]	Decreased Coagulation Factor Activity
221095	enoxaparin sodium	Antithrombins|Enzyme Activators|Serine Proteinase Inhibitors|Factor Xa Inhibitors	E [Preparations]	Decreased Coagulation Factor Activity
152612	certoparin sodium	Antithrombins|Factor Xa Inhibitors	C [Preparations]	Decreased Coagulation Factor Activity
152610	certoparin	Antithrombins|Factor Xa Inhibitors	C [Preparations]	Decreased Coagulation Factor Activity
235473	heparin, porcine	Antithrombin Activators|Thrombin Inhibitors	Anti-coagulant|Unfractionated Heparin|H [Preparations]	Decreased Coagulation Factor Activity
235995	tinzaparin sodium,porcine	Protease Inhibitors|Antithrombins	T [Preparations]	Decreased Coagulation Factor Activity
1856273	heparin, bovine	Thrombin Inhibitors|Antithrombin Activators	H [Preparations]	Decreased Coagulation Factor Activity
114194	warfarin sodium	Vitamin K Epoxide Reductase Inhibitors	W [Preparations]	Decreased Coagulation Factor Concentration|Decreased Coagulation Factor Activity
103843	danaparoid sodium	Antithrombins|Enzyme Activators|Serine Proteinase Inhibitors|Factor Xa Inhibitors	D [Preparations]	Decreased Coagulation Factor Activity
104466	tinzaparin sodium	Protease Inhibitors|Antithrombins	T [Preparations]	Decreased Coagulation Factor Activity
82118	warfarin potassium	Vitamin K Epoxide Reductase Inhibitors	W [Preparations]	Decreased Coagulation Factor Concentration|Decreased Coagulation Factor Activity
82137	dalteparin sodium	Antithrombins|Enzyme Activators|Serine Proteinase Inhibitors|Factor Xa Inhibitors	D [Preparations]	Decreased Coagulation Factor Activity
1598	dicumarol	Vitamin K Epoxide Reductase Inhibitors	D [Preparations]	Decreased Coagulation Factor Activity|Decreased Coagulation Factor Concentration
75960	reviparin	Antithrombins	R [Preparations]	Decreased Coagulation Factor Activity
75961	reviparin sodium	Antithrombins	R [Preparations]	Decreased Coagulation Factor Activity
78484	danaparoid	Antithrombins|Enzyme Activators|Serine Proteinase Inhibitors|Factor Xa Inhibitors	D [Preparations]	Decreased Coagulation Factor Activity
67031	nadroparin	Antithrombins|Serine Proteinase Inhibitors|Factor Xa Inhibitors	N [Preparations]	Decreased Coagulation Factor Activity
67109	dalteparin	Antithrombins|Enzyme Activators|Serine Proteinase Inhibitors|Factor Xa Inhibitors	Anti-coagulant|Low Molecular Weight Heparin|D [Preparations]	Decreased Coagulation Factor Activity
67108	enoxaparin	Antithrombins|Enzyme Activators|Serine Proteinase Inhibitors|Factor Xa Inhibitors	Low Molecular Weight Heparin|E [Preparations]	Decreased Coagulation Factor Activity
69528	parnaparin	Antithrombins	P [Preparations]	Decreased Coagulation Factor Activity
69646	tinzaparin	Protease Inhibitors|Antithrombins	Low Molecular Weight Heparin|T [Preparations]	Decreased Coagulation Factor Activity
40028	anistreplase	Tissue Plasminogen Activators	A [Preparations]	Increased Thrombolysis
20044	heparin calcium	Antithrombin Activators|Thrombin Inhibitors	H [Preparations]	Decreased Coagulation Factor Activity
11055	urokinase	Tissue Plasminogen Activators	Thrombolytic Agent|U [Preparations]	Increased Thrombolysis
11289	warfarin	Vitamin K Inhibitors|Vitamin K Epoxide Reductase Inhibitors	W [Preparations]|Vitamin K Antagonist	Decreased Coagulation Factor Activity|Decreased Coagulation Factor Concentration
9877	heparin sodium	Antithrombin Activators|Thrombin Inhibitors	H [Preparations]	Decreased Coagulation Factor Activity
8410	alteplase	Plasminogen Activators|Tissue Plasminogen Activators	A [Preparations]	Increased Thrombolysis
17941	anisindione	Vitamin K Epoxide Reductase Inhibitors	A [Preparations]	Decreased Coagulation Factor Activity|Decreased Coagulation Factor Concentration
10106	streptokinase	Tissue Plasminogen Activators	S [Preparations]	Increased Thrombolysis
8150	phenprocoumon	Vitamin K Epoxide Reductase Inhibitors	P [Preparations]	Decreased Coagulation Factor Activity|Decreased Coagulation Factor Concentration
1546009	levofloxacin anhydrous	DNA Gyrase Inhibitors|Topoisomerase 4 Inhibitors	L [Preparations]	Decreased DNA Integrity|Decreased DNA Replication|Decreased Protein Synthesis|Decreased Transcription to RNA|Increased Protein Breakdown
2878	cortisone	Lipoxygenase Inhibitors|Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	Corticosteroid|C [Preparations]	Carbohydrate Metabolism Alteration|Decreased Glucocorticoid Secretion|Decreased Leukotriene Activity|Decreased Lysosomal Function|Decreased Prostaglandin Activity|Decreased Protein Synthesis|Decreased Thromboxane Activity|Decreased Cellular Migration|Lipid Metabolism Alteration
82122	levofloxacin	DNA Gyrase Inhibitors|Topoisomerase 4 Inhibitors	L [Preparations]|Fluoroquinolone Antibacterial	Decreased DNA Integrity|Decreased DNA Replication|Decreased Protein Synthesis|Decreased Transcription to RNA|Increased Protein Breakdown
55672	rifabutin	Nucleic Acid Synthesis Inhibitors	Rifamycin Antimycobacterial|R [Preparations]	Cellular Growth Phase Reduction|Decreased Protein Synthesis|Decreased Transcription to RNA
21655	cortisone acetate	Lipoxygenase Inhibitors|Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	C [Preparations]	Carbohydrate Metabolism Alteration|Decreased Glucocorticoid Secretion|Decreased Leukotriene Activity|Decreased Lysosomal Function|Decreased Prostaglandin Activity|Decreased Protein Synthesis|Decreased Thromboxane Activity|Decreased Cellular Migration|Lipid Metabolism Alteration
35617	rifapentine	Nucleic Acid Synthesis Inhibitors	Rifamycin Antimycobacterial|R [Preparations]	Cellular Growth Phase Reduction|Decreased Protein Synthesis|Decreased RNA Replication|Decreased Transcription to RNA
52582	mesalamine	Cyclooxygenase Inhibitors|Lipoxygenase Inhibitors	Aminosalicylate|M [Preparations]	Decreased Leukotriene Activity|Decreased Prostaglandin Production|Decreased Thromboxane Production|Decreased Platelet Aggregation
237005	levomethadyl	Opioid Agonists	L [Preparations]	Decreased Organized Electrical Activity
218337	methadone hydrochloride	NMDA Receptor Antagonists|Full Opioid Agonists|Opioid Agonists	M [Preparations]	Analgesia|Decreased Organized Electrical Activity
236069	nalmefene hydrochloride	Opioid Antagonists	N [Preparations]	Central Nervous System Stimulation|Increased Blood Pressure|Increased Medullary Respiratory Drive
142432	clonidine hydrochloride	Adrenergic alpha2-Agonists	C [Preparations]	Analgesia|Decreased Blood Pressure|Decreased Sympathetic Organized Electrical Activity|Negative Chronotropy|Neurotransmitter & Neuromuscular Transmitter Activity Alteration|Systemic Arterial Vasodilation|Renal Arterial Vasodilation
105069	naltrexone hydrochloride	Opioid Antagonists	N [Preparations]	Pupillary Constriction|Central Nervous System Stimulation
82043	levomethadyl acetate hydrochloride	Opioid Agonists	L [Preparations]	Decreased Organized Electrical Activity
31479	nalmefene	Opioid Antagonists	Opioid Antagonist|N [Preparations]	Central Nervous System Stimulation|Increased Blood Pressure|Increased Medullary Respiratory Drive
7243	naltrexone	Opioid Antagonists	Opioid Antagonist|N [Preparations]	Pupillary Constriction|Central Nervous System Stimulation
6813	methadone	NMDA Receptor Antagonists|Full Opioid Agonists|Opioid Agonists	M [Preparations]|Opioid Agonist	Analgesia|Decreased Organized Electrical Activity
540810	amphetamine saccharate	Monoamine Oxidase Inhibitors|Dopamine Uptake Inhibitors|Norepinephrine Uptake Inhibitors	A [Preparations]	Bronchodilation|Increased Cerebral Cortex Norepinephrine Activity|Increased Cerebral Cortex Dopamine Activity
405812	amphetamine aspartate monohydrate	Monoamine Oxidase Inhibitors|Dopamine Uptake Inhibitors|Norepinephrine Uptake Inhibitors	A [Preparations]	Bronchodilation|Increased Cerebral Cortex Dopamine Activity|Increased Cerebral Cortex Norepinephrine Activity
203188	methylphenidate hydrochloride	Norepinephrine Uptake Inhibitors|Dopamine Uptake Inhibitors	M [Preparations]	Central Nervous System Stimulation|Bronchodilation|Increased Cerebral Cortex Dopamine Activity|Increased Cerebral Cortex Norepinephrine Activity
221057	amphetamine aspartate	Monoamine Oxidase Inhibitors|Norepinephrine Uptake Inhibitors|Dopamine Uptake Inhibitors	A [Preparations]	Central Nervous System Stimulation|Bronchodilation|Increased Cerebral Cortex Dopamine Activity|Increased Cerebral Cortex Norepinephrine Activity
3287	dextroamphetamine sulfate	Monoamine Oxidase Inhibitors|Dopamine Uptake Inhibitors|Norepinephrine Uptake Inhibitors	D [Preparations]	Central Nervous System Stimulation|Bronchodilation|Increased Cerebral Cortex Norepinephrine Activity|Increased Cerebral Cortex Dopamine Activity
3288	dextroamphetamine	Monoamine Oxidase Inhibitors|Dopamine Uptake Inhibitors|Norepinephrine Uptake Inhibitors	Central Nervous System Stimulant|D [Preparations]	Central Nervous System Stimulation|Bronchodilation|Increased Cerebral Cortex Norepinephrine Activity|Increased Cerebral Cortex Dopamine Activity
221088	dextroamphetamine saccharate	Monoamine Oxidase Inhibitors|Norepinephrine Uptake Inhibitors|Dopamine Uptake Inhibitors	D [Preparations]	Central Nervous System Stimulation|Bronchodilation|Increased Cerebral Cortex Norepinephrine Activity|Increased Cerebral Cortex Dopamine Activity
81952	amphetamine sulfate	Monoamine Oxidase Inhibitors|Dopamine Uptake Inhibitors|Norepinephrine Uptake Inhibitors	A [Preparations]	Central Nervous System Stimulation|Bronchodilation|Increased Cerebral Cortex Norepinephrine Activity|Increased Cerebral Cortex Dopamine Activity
82044	methamphetamine hydrochloride	Monoamine Oxidase Inhibitors|Dopamine Uptake Inhibitors|Norepinephrine Uptake Inhibitors	M [Preparations]	Appetite Suppression|Central Nervous System Stimulation|Bronchodilation|Increased Cerebral Cortex Dopamine Activity|Increased Cerebral Cortex Norepinephrine Activity
30125	modafinil	Dopamine Uptake Inhibitors	Sympathomimetic-like Agent|M [Preparations]	Central Nervous System Stimulation|Increased Sympathetic Activity|Increased Central Nervous System Organized Electrical Activity
7966	pemoline	Dopamine Uptake Inhibitors	P [Preparations]	Increased Cerebral Cortex Organized Electrical Activity|Increased Cerebral Cortex Dopamine Activity|Increased Medullary Respiratory Drive
6816	methamphetamine	Monoamine Oxidase Inhibitors|Norepinephrine Uptake Inhibitors|Dopamine Uptake Inhibitors	Central Nervous System Stimulant|Amphetamine Anorectic|M [Preparations]	Appetite Suppression|Central Nervous System Stimulation|Increased Sympathetic Activity|Bronchodilation|Increased Cerebral Cortex Norepinephrine Activity|Increased Cerebral Cortex Dopamine Activity
6901	methylphenidate	Dopamine Uptake Inhibitors|Norepinephrine Uptake Inhibitors	Central Nervous System Stimulant|M [Preparations]	Central Nervous System Stimulation|Bronchodilation|Increased Cerebral Cortex Dopamine Activity|Increased Cerebral Cortex Norepinephrine Activity
725	amphetamine	Monoamine Oxidase Inhibitors|Norepinephrine Uptake Inhibitors|Dopamine Uptake Inhibitors	Central Nervous System Stimulant|A [Preparations]	Central Nervous System Stimulation|Bronchodilation|Increased Cerebral Cortex Norepinephrine Activity|Increased Cerebral Cortex Dopamine Activity
1426886	cysteamine hydrochloride	Cystine Disulfide Reduction|Unknown Cellular or Molecular Interaction	C [Preparations]	Unknown Physiological Effect
3022	cysteamine	Cystine Disulfide Reduction|Unknown Cellular or Molecular Interaction	Cystine Depleting Agent|C [Preparations]	Unknown Physiological Effect
81990	cysteamine bitartrate	Cystine Disulfide Reduction|Unknown Cellular or Molecular Interaction	C [Preparations]	Unknown Physiological Effect
1309404	ipratropium bromide monohydrate	Cholinergic Muscarinic Antagonists	I [Preparations]	Bronchodilation|Decreased Parasympathetic Acetylcholine Activity
1445143	ipratropium bromide anhydrous	Cholinergic Muscarinic Antagonists	I [Preparations]	Bronchodilation|Decreased Parasympathetic Acetylcholine Activity
1367172	budesonide (11.beta.,16.alpha.(S))	Glucocorticoid Receptor Agonists	B [Preparations]	Decreased Glucocorticoid Secretion|Decreased Lysosomal Function|Decreased Protein Synthesis|Decreased Cellular Migration
705022	fluticasone furoate	Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	F [Preparations]	Decreased Capillary Permeability|Decreased Fibroblast Migration|Decreased Polymorphonuclear Leukocyte Migration|Decreased Glucocorticoid Secretion|Decreased Lysosomal Function|Decreased Protein Synthesis
1298840	flunisolide hemihydrate	Glucocorticoid Receptor Agonists	F [Preparations]	Decreased Capillary Permeability|Decreased Fibroblast Migration|Decreased Polymorphonuclear Leukocyte Migration|Decreased Glucocorticoid Secretion|Decreased Protein Synthesis|Increased Lysosomal Function
686390	dexbrompheniramine tannate	Histamine H1 Receptor Antagonists	D [Preparations]	Decreased Histamine Activity
1546428	flunisolide anhydrous	Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	Corticosteroid|F [Preparations]	Decreased Capillary Permeability|Decreased Polymorphonuclear Leukocyte Migration|Decreased Fibroblast Migration|Decreased Glucocorticoid Secretion|Decreased Protein Synthesis|Increased Lysosomal Function
5032	guaifenesin		G [Preparations]|Expectorant	Decreased Respiratory Secretion Viscosity|Increased Respiratory Secretions
405414	brompheniramine tannate	Histamine H1 Receptor Antagonists	B [Preparations]	Decreased Acetylcholine Activity|Decreased Histamine Activity
405970	carbinoxamine tannate	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
407885	pseudoephedrine polistirex	Adrenergic alpha-Agonists|Adrenergic beta-Agonists	P [Preparations]	Vasoconstriction|Bronchodilation
402349	levocetirizine dihydrochloride	Histamine H1 Receptor Antagonists	L [Preparations]	Decreased Histamine Activity
353104	dexchlorpheniramine tannate	Histamine H1 Receptor Antagonists	D [Preparations]	Decreased Histamine Activity
356887	levocetirizine	Histamine H1 Receptor Antagonists	Histamine-1 Receptor Antagonist|L [Preparations]	Decreased Histamine Activity
360283	diphenhydramine tannate	Histamine H1 Receptor Antagonists	D [Preparations]	
314786	phenyltoloxamine resin complex	Histamine H1 Receptor Antagonists	P [Preparations]	Analgesia|Decreased Histamine Activity
485608	promethazine hydrobromide	Dopamine Antagonists|Histamine H1 Receptor Antagonists	P [Preparations]	Decreased Norepinephrine Activity|Decreased Dopamine Activity|Decreased Histamine Activity|Emesis Suppression
3642	doxylamine	Histamine H1 Receptor Antagonists|Histamine Receptor Antagonists	Antihistamine|D [Preparations]	Decreased Histamine Activity
236260	diphenhydramine diacefyllinate	Histamine H1 Receptor Antagonists	D [Preparations]	
236474	fexofenadine hydrochloride	Histamine H1 Receptor Antagonists	F [Preparations]	Decreased Histamine Activity
236525	cyproheptadine pyrid phos	Histamine H1 Receptor Antagonists|Serotonin Antagonists	C [Preparations]	Decreased Histamine Activity|Decreased Serotonin Activity
236792	phenyltoloxamine polistirex	Histamine H1 Receptor Antagonists	P [Preparations]	Analgesia|Decreased Histamine Activity
236815	promethazine dioxide	Dopamine Antagonists|Histamine H1 Receptor Antagonists	P [Preparations]	Decreased Norepinephrine Activity|Decreased Dopamine Activity|Decreased Histamine Activity|Emesis Suppression
253156	beclomethasone dipropionate monohydrate	Glucocorticoid Receptor Agonists	B [Preparations]	Vasoconstriction|Decreased Glucocorticoid Secretion|Decreased Lysosomal Function|Decreased Protein Synthesis|Decreased Cellular Migration
266959	pheniramine maleate	Histamine H1 Receptor Antagonists	P [Preparations]	Decreased Histamine Activity
274964	ciclesonide	Glucocorticoid Receptor Agonists	C [Preparations]	Decreased Vascular Permeability|Decreased Prostaglandin Production
275635	desloratadine	Histamine H1 Receptor Antagonists	Histamine-1 Receptor Antagonist|D [Preparations]	Decreased Histamine Activity
203150	cetirizine hydrochloride	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
203212	ipratropium bromide	Cholinergic Antagonists|Cholinergic Muscarinic Antagonists	I [Preparations]	Bronchodilation|Decreased Parasympathetic Acetylcholine Activity
159340	pheniramine aminosalicylate	Histamine H1 Receptor Antagonists	P [Preparations]	Decreased Histamine Activity
164308	trimeprazine tartrate	Histamine H1 Receptor Antagonists	T [Preparations]	Decreased Histamine Activity
3013	cyproheptadine	Serotonin Antagonists|Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity|Decreased Serotonin Activity
3266	phenylpropanolamine hydrochloride	Adrenergic alpha-Agonists	P [Preparations]	Vasoconstriction|Increased Urethra Smooth Muscle Tone
221074	chlorpheniramine polistirex	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
221075	chlorpheniramine tannate	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
221137	phenindamine tartrate	Histamine H1 Receptor Antagonists	P [Preparations]	Decreased Histamine Activity
221141	phenyltoloxamine citrate	Histamine H1 Receptor Antagonists	P [Preparations]	Analgesia|Decreased Histamine Activity
221151	pseudoephedrine tannate	Adrenergic beta-Agonists|Adrenergic alpha-Agonists	P [Preparations]	Vasoconstriction|Bronchodilation
221152	pyrilamine tannate	Histamine H1 Receptor Antagonists	P [Preparations]	Decreased Histamine Activity
153374	mometasone furoate monohydrate	Lipoxygenase Inhibitors|Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	M [Preparations]	Vasoconstriction|Decreased Leukotriene Activity|Decreased Prostaglandin Activity|Decreased Protein Synthesis|Decreased Thromboxane Activity
3498	diphenhydramine	Histamine H1 Receptor Antagonists	Histamine-1 Receptor Antagonist|D [Preparations]	
235721	methapyrilene hydrochloride	Histamine H1 Receptor Antagonists	M [Preparations]	Decreased Histamine Activity
235725	chlorcyclizine hydrochloride	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
235824	azelastine hydrochloride	Histamine H1 Receptor Antagonists	A [Preparations]	Decreased Histamine Activity
3538	cromolyn sodium	Biological Response Modifiers|Ion Exchange Activity	C [Preparations]	Decreased Histamine Release|Decreased Histamine Activity|Decreased Leukotriene Activity
142427	brompheniramine maleate	Histamine H1 Receptor Antagonists	B [Preparations]	Decreased Acetylcholine Activity|Decreased Histamine Activity
142429	chlorpheniramine maleate	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
142430	clemastine fumarate	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
142445	promethazine hydrochloride	Dopamine Antagonists|Histamine H1 Receptor Antagonists	P [Preparations]	Decreased Norepinephrine Activity|Decreased Dopamine Activity|Decreased Histamine Activity|Emesis Suppression
115713	montelukast sodium	Leukotriene Receptor Antagonists	M [Preparations]	Bronchodilation|Decreased Tracheo-Bronchial Mucosal Edema
104592	cyproheptadine hydrochloride	Serotonin Antagonists|Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity|Decreased Serotonin Activity
108118	mometasone	Lipoxygenase Inhibitors|Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	Corticosteroid|M [Preparations]	Vasoconstriction|Decreased Leukotriene Activity|Decreased Prostaglandin Activity|Decreased Protein Synthesis|Decreased Thromboxane Activity
2354	chlorcyclizine	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
2400	chlorpheniramine	Histamine H1 Receptor Antagonists	Histamine-1 Receptor Antagonist|C [Preparations]	Decreased Histamine Activity
2578	clemastine	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
71533	tripelennamine citrate	Histamine H1 Receptor Antagonists	T [Preparations]	Decreased Histamine Activity
82004	diphenhydramine citrate	Histamine H1 Receptor Antagonists	D [Preparations]	
82091	pyrilamine maleate	Histamine H1 Receptor Antagonists	P [Preparations]	Decreased Histamine Activity
87636	fexofenadine	Histamine H1 Receptor Antagonists	Histamine-1 Receptor Antagonist|F [Preparations]	Decreased Histamine Activity
88249	montelukast	Leukotriene Receptor Antagonists	Leukotriene Receptor Antagonist|M [Preparations]	Bronchodilation|Decreased Tracheo-Bronchial Mucosal Edema
91063	tripelennamine hydrochloride	Histamine H1 Receptor Antagonists	T [Preparations]	Decreased Histamine Activity
91065	bromodiphenhydramine hydrochloride	Histamine H1 Receptor Antagonists	B [Preparations]	Decreased Acetylcholine Activity|Decreased Histamine Activity|Emesis Suppression
91066	carbinoxamine maleate	Histamine H1 Receptor Antagonists	C [Preparations]	Decreased Histamine Activity
91121	methdilazine hydrochloride	Histamine H1 Receptor Antagonists	M [Preparations]	Decreased Histamine Activity
91168	pseudoephedrine hydrochloride	Adrenergic alpha-Agonists|Adrenergic beta-Agonists	P [Preparations]	Vasoconstriction|Bronchodilation
91169	pseudoephedrine sulfate	Adrenergic beta-Agonists|Adrenergic alpha-Agonists	P [Preparations]	Vasoconstriction|Bronchodilation
1767	brompheniramine	Histamine H1 Receptor Antagonists	B [Preparations]	Decreased Acetylcholine Activity|Decreased Histamine Activity
48936	dexbrompheniramine maleate	Histamine H1 Receptor Antagonists	D [Preparations]	Decreased Histamine Activity
50121	fluticasone propionate	Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	F [Preparations]	Decreased Capillary Permeability|Decreased Fibroblast Migration|Decreased Glucocorticoid Secretion|Decreased Polymorphonuclear Leukocyte Migration|Decreased Lysosomal Function|Decreased Protein Synthesis
18600	azatadine	Calcium Channel Interactions	A [Preparations]	Decreased Acetylcholine Activity|Decreased Histamine Activity|Decreased Serotonin Activity
18603	azelastine	Histamine H1 Receptor Antagonists	Histamine-1 Receptor Antagonist|A [Preparations]	Decreased Histamine Activity
19759	bromodiphenhydramine	Histamine H1 Receptor Antagonists	B [Preparations]	Decreased Acetylcholine Activity|Decreased Histamine Activity|Emesis Suppression
19831	budesonide	Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	Corticosteroid|B [Preparations]	Decreased Glucocorticoid Secretion|Decreased Lysosomal Function|Decreased Protein Synthesis|Decreased Cellular Migration
19959	acrivastine	Histamine H1 Receptor Antagonists	Histamine-1 Receptor Antagonist|A [Preparations]	Decreased Histamine Activity
20220	carbinoxamine	Histamine H1 Receptor Antagonists	Histamine-1 Receptor Antagonist|C [Preparations]	Decreased Histamine Activity
54828	dexchlorpheniramine maleate	Histamine H1 Receptor Antagonists	D [Preparations]	Decreased Histamine Activity
20610	cetirizine	Histamine H1 Receptor Antagonists	Histamine-1 Receptor Antagonist|C [Preparations]	Decreased Histamine Activity
58275	azatadine maleate	Calcium Channel Interactions	A [Preparations]	Decreased Acetylcholine Activity|Decreased Histamine Activity|Decreased Serotonin Activity
22697	dexchlorpheniramine	Histamine H1 Receptor Antagonists	D [Preparations]	Decreased Histamine Activity
22696	dexbrompheniramine	Histamine H1 Receptor Antagonists	D [Preparations]	Decreased Histamine Activity
1546384	beclomethasone 17-monopropionate	Glucocorticoid Receptor Agonists	B [Preparations]	Vasoconstriction|Decreased Glucocorticoid Secretion|Decreased Lysosomal Function|Decreased Protein Synthesis|Decreased Cellular Migration
41126	fluticasone	Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	Corticosteroid|F [Preparations]	Decreased Capillary Permeability|Decreased Polymorphonuclear Leukocyte Migration|Decreased Glucocorticoid Secretion|Decreased Fibroblast Migration|Decreased Lysosomal Function|Decreased Protein Synthesis
23665	doxylamine succinate	Histamine H1 Receptor Antagonists|Histamine Receptor Antagonists	D [Preparations]	Decreased Histamine Activity
42328	astemizole	Histamine H1 Receptor Antagonists	A [Preparations]	Decreased Histamine Activity
25120	flunisolide	Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	F [Preparations]	Decreased Capillary Permeability|Decreased Polymorphonuclear Leukocyte Migration|Decreased Glucocorticoid Secretion|Decreased Fibroblast Migration|Decreased Protein Synthesis|Increased Lysosomal Function
28889	loratadine	Histamine H1 Receptor Antagonists	L [Preparations]	Decreased Histamine Activity
29648	methdilazine	Histamine H1 Receptor Antagonists	M [Preparations]	Decreased Histamine Activity
42612	cromolyn	Biological Response Modifiers|Ion Exchange Activity	Mast Cell Stabilizer|C [Preparations]	Decreased Histamine Release|Decreased Leukotriene Activity|Decreased Histamine Activity
30145	mometasone furoate	Lipoxygenase Inhibitors|Corticosteroid Hormone Receptor Agonists|Glucocorticoid Receptor Agonists	M [Preparations]	Vasoconstriction|Decreased Leukotriene Activity|Decreased Prostaglandin Activity|Decreased Protein Synthesis|Decreased Thromboxane Activity
10825	trimeprazine	Histamine H1 Receptor Antagonists	T [Preparations]	Decreased Histamine Activity
10847	tripelennamine	Histamine H1 Receptor Antagonists	T [Preparations]	Decreased Histamine Activity
