MSH_id	name
D055397	Ventilator-Induced Lung Injury
D007232	Infant, Newborn, Diseases
D055370	Lung Injury
D013898	Thoracic Injuries
D013119	Spinal Cord Injuries
D020196	Trauma, Nervous System
D001748	Urinary Bladder Neck Obstruction
D014524	Urethral Obstruction
D014522	Urethral Diseases
D001005	Anus Neoplasms
D001004	Anus Diseases
D012004	Rectal Neoplasms
D015179	Colorectal Neoplasms
D009404	Nephrotic Syndrome
D009401	Nephrosis
D020803	Encephalitis, Herpes Simplex
D057049	Thrombotic Microangiopathies
D003556	Cystitis
D006954	Hyperlipoproteinemia Type V
D011628	Puberty, Delayed
D009410	Nerve Degeneration
D018254	Adenomatoid Tumor
D018301	Neoplasms, Mesothelial
D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
D017116	Low Back Pain
D001416	Back Pain
D017565	Sarcoidosis, Pulmonary
D006929	Hyperaldosteronism
D018901	Peroxisomal Disorders
D015140	Dementia, Vascular
D002537	Intracranial Arteriosclerosis
D020765	Intracranial Arterial Diseases
D001161	Arteriosclerosis
D001157	Arterial Occlusive Diseases
D014009	Onychomycosis
D014005	Tinea
D018232	Rhabdomyosarcoma, Alveolar
D012208	Rhabdomyosarcoma
D009217	Myosarcoma
D009379	Neoplasms, Muscle Tissue
D003874	Dermatitis Herpetiformis
D001929	Brain Edema
D007174	Disruptive, Impulse Control, and Conduct Disorders
D005185	Fallopian Tube Neoplasms
D005184	Fallopian Tube Diseases
D005512	Food Hypersensitivity
D020795	Photophobia
D014786	Vision Disorders
D012678	Sensation Disorders
D003324	Coronary Artery Disease
D003327	Coronary Disease
D003457	Cryptosporidiosis
D008178	Lupus Erythematosus, Cutaneous
D016489	Head Injuries, Closed
D006259	Craniocerebral Trauma
D014949	Wounds, Nonpenetrating
D003449	Cryoglobulinemia
D015432	Glomerulonephritis, Membranoproliferative
D011470	Prostatic Hyperplasia
D011271	Pregnancy, Ectopic
D008269	Macular Edema
D008268	Macular Degeneration
D012162	Retinal Degeneration
D000086002	Mesothelioma, Malignant
D008654	Mesothelioma
D065134	Lipedema
D004938	Esophageal Neoplasms
D004935	Esophageal Diseases
D001196	Ascariasis
D017191	Ascaridida Infections
D007952	Leukemia, Plasma Cell
D003929	Diabetic Neuropathies
D008133	Long QT Syndrome
D000292	Pelvic Inflammatory Disease
D034161	Pelvic Infection
D001477	Bartter Syndrome
D031249	Erdheim-Chester Disease
D015616	Histiocytosis, Non-Langerhans-Cell
D000224	Addison Disease
D000309	Adrenal Insufficiency
D018088	Tuberculosis, Multidrug-Resistant
D007868	Leg Dermatoses
D010373	Lice Infestations
D004478	Ectoparasitic Infestations
D003490	Cyanosis
D006526	Hepatitis C
D013158	Splenic Diseases
D009402	Nephrosis, Lipoid
D021441	Carcinoma, Pancreatic Ductal
D044584	Carcinoma, Ductal
D018299	Neoplasms, Ductal, Lobular, and Medullary
D020918	Complex Regional Pain Syndromes
D000070639	Elbow Tendinopathy
D052256	Tendinopathy
D000092464	Elbow Injuries
D001134	Arm Injuries
D016918	Arthritis, Reactive
D000094025	Post-Infectious Disorders
D001170	Arthritis, Infectious
D018589	Gastroparesis
D010033	Otitis Media
D014388	Tuberculosis, Lymph Node
D001254	Astrocytoma
D005368	Filariasis
D017205	Spirurida Infections
D016460	Granuloma Annulare
D015270	Mycobacterium avium-intracellulare Infection
D009165	Mycobacterium Infections, Nontuberculous
D017824	Bone Cysts, Aneurysmal
D001845	Bone Cysts
D003560	Cysts
D012512	Sarcoma, Ewing
D006975	Hypertension, Portal
D000544	Alzheimer Disease
D024801	Tauopathies
D006934	Hypercalcemia
D002128	Calcium Metabolism Disorders
D008288	Malaria
D054218	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
D002289	Carcinoma, Non-Small-Cell Lung
D008368	Mansonelliasis
D013971	Thyrotoxicosis
D006980	Hyperthyroidism
D019955	Conduct Disorder
D002006	Brucellosis
D015473	Leukemia, Promyelocytic, Acute
D015470	Leukemia, Myeloid, Acute
D017728	Lymphoma, Large-Cell, Anaplastic
D004751	Enteritis
D055953	Microscopic Polyangiitis
D009128	Muscle Spasticity
D009122	Muscle Hypertonia
D014860	Warts
D030361	Papillomavirus Infections
D014412	Tumor Virus Infections
D006457	Hemoglobinuria, Paroxysmal
D009190	Myelodysplastic Syndromes
D000096865	Oppositional Defiant Disorder
D005764	Gastroesophageal Reflux
D015154	Esophageal Motility Disorders
D003680	Deglutition Disorders
D014526	Urethritis
D014842	von Willebrand Diseases
D008224	Lymphoma, Follicular
D000086382	COVID-19
D018352	Coronavirus Infections
D011024	Pneumonia, Viral
D003333	Coronaviridae Infections
D030341	Nidovirales Infections
D018192	Lymphangioleiomyomatosis
D008203	Lymphangiomyoma
D018190	Lymphatic Vessel Tumors
D047748	Pituitary ACTH Hypersecretion
D012878	Skin Neoplasms
D020522	Lymphoma, Mantle-Cell
D010493	Pericarditis
D014010	Tinea Versicolor
D018636	Hypoplastic Left Heart Syndrome
D012810	Sigmoid Diseases
D001919	Bradycardia
D010383	Pellagra
D005756	Gastritis
D029502	Anemia, Hypoplastic, Congenital
D000080984	Congenital Bone Marrow Failure Syndromes
D013771	Tetralogy of Fallot
D013130	Spinal Stenosis
D015812	Glaucoma, Angle-Closure
D014277	Trigeminal Neuralgia
D020433	Trigeminal Nerve Diseases
D005156	Facial Neuralgia
D005155	Facial Nerve Diseases
D006816	Huntington Disease
D002819	Chorea
D003072	Cognition Disorders
D020820	Dyskinesias
D015673	Fatigue Syndrome, Chronic
D004679	Encephalomyelitis
D020250	Postoperative Nausea and Vomiting
D014839	Vomiting
D009325	Nausea
D006177	Gynecomastia
D001941	Breast Diseases
D009889	Opisthorchiasis
D006073	Gout
D000070657	Crystal Arthropathies
D011686	Purine-Pyrimidine Metabolism, Inborn Errors
D010391	Pemphigoid, Bullous
D054058	Acute Coronary Syndrome
D015266	Carcinoma, Merkel Cell
D002295	Carcinoma, Transitional Cell
D017726	Cytomegalovirus Retinitis
D003586	Cytomegalovirus Infections
D009976	Orthomyxoviridae Infections
D001229	Aspergillosis, Allergic Bronchopulmonary
D055732	Pulmonary Aspergillosis
D008172	Lung Diseases, Fungal
D010930	Plague
D015009	Yersinia Infections
D003110	Colonic Neoplasms
D016868	Serratia Infections
D017034	Epilepsy, Frontal Lobe
D003320	Corneal Ulcer
D002862	Chromoblastomycosis
D006606	Hiccup
D011081	Polychondritis, Relapsing
D002357	Cartilage Diseases
D009894	Opportunistic Infections
D007246	Infertility
D009855	Onchocerciasis
D010673	Pheochromocytoma
D010235	Paraganglioma
D000562	Amebiasis
D000196	Actinomycosis
D006356	Heartburn
D015461	Leukemia, Prolymphocytic, T-Cell
D015463	Leukemia, Prolymphocytic
D015458	Leukemia, T-Cell
D020529	Multiple Sclerosis, Relapsing-Remitting
D004831	Epilepsies, Myoclonic
D005148	Facial Dermatoses
D015863	Iridocyclitis
D003453	Cryptococcosis
D004823	Epididymitis
D046728	Colitis, Microscopic
D001528	Behcet Syndrome
D056660	Hereditary Autoinflammatory Diseases
D005922	Glomerulonephritis, IGA
D036981	Fasciitis, Plantar
D005208	Fasciitis
D005534	Foot Diseases
D014069	Tonsillitis
D000856	Anorexia Nervosa
D004942	Esophagitis, Peptic
D004941	Esophagitis
D000380	Agranulocytosis
D007970	Leukopenia
D009203	Myocardial Infarction
D010301	Parkinson Disease, Postencephalitic
D010302	Parkinson Disease, Secondary
D013953	Thymus Neoplasms
D000075222	Essential Hypertension
D004418	Dyspnea, Paroxysmal
D004417	Dyspnea
D013736	Testicular Neoplasms
D005834	Genital Neoplasms, Male
D016919	Meningitis, Cryptococcal
D016921	Meningitis, Fungal
D020314	Central Nervous System Fungal Infections
D009080	Mucocutaneous Lymph Node Syndrome
D015433	Glomerulonephritis, Membranous
